task_id,backend,status,message,arrival_time,start_time,finish_time,waiting_time,turnaround_time,fidelity,exec_time_est,swap_count
13,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',1.6716460863030635,10.0,11.0,8.328353913696937,9.328353913696937,,,
5,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',2.3123063483285247,10.0,11.0,7.687693651671475,8.687693651671475,,,
8,fake_hanoi,success,,2.5393797941493714,11.0,11.0016896,8.460620205850628,8.46230980585063,0.9870777147137147,0.0016896000000000003,0.0
16,fake_brisbane,success,,19.789717074047353,20.0,20.0008192,0.2102829259526473,0.211102125952646,0.9655885070369844,0.0008191999999999997,0.0
4,fake_hanoi,success,,16.039286777032252,20.0,20.0016896,3.9607132229677475,3.9624028229677464,0.9870777147137147,0.0016896000000000003,0.0
19,fake_brisbane,success,,21.15607924295489,30.0,30.0024576,8.843920757045112,8.846378357045111,0.9221563184394991,0.002457599999999998,0.0
15,fake_hanoi,success,,21.03597822517081,30.0,30.003328,8.964021774829192,8.967349774829191,0.9540649618417361,0.003328,0.0
14,fake_hanoi,success,,21.386283235863473,30.003328,30.0067584,8.617044764136526,8.620475164136526,0.9733480924695651,0.0034304000000000005,0.0
2,fake_brisbane,success,,25.10864197000694,40.0,40.0020992,14.89135802999306,14.893457229993064,0.9417362622231683,0.0020991999999999985,0.0
9,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',22.387831872656385,40.0,41.0,17.612168127343615,18.612168127343615,,,
11,fake_hanoi,success,,27.526912214258836,41.0,41.0037376,13.473087785741164,13.476825385741165,0.9617319426784903,0.0037376,0.0
10,fake_brisbane,success,,28.6613584104763,50.0,50.0021504,21.3386415895237,21.340791989523698,0.9436225637280606,0.0021503999999999985,0.0
1,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',27.589634745223645,50.0,51.0,22.410365254776355,23.410365254776355,,,
6,fake_hanoi,success,,33.89310329643339,51.0,51.0034304,17.106896703566612,17.11032710356661,0.9733480924695651,0.0034304000000000005,0.0
18,fake_brisbane,success,,37.68526685130838,60.0,60.0020992,22.314733148691623,22.316832348691626,0.9417362622231683,0.0020991999999999985,0.0
7,fake_hanoi,success,,36.32038454837655,60.0,60.0037376,23.679615451623448,23.68335305162345,0.9617319426784903,0.0037376,0.0
17,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',41.86502770310263,60.0020992,61.0020992,18.13707149689737,19.13707149689737,,,
0,fake_brisbane,success,,45.302414504100405,70.0,70.0008192,24.697585495899595,24.69840469589959,0.9655885070369844,0.0008191999999999997,0.0
3,fake_hanoi,success,,42.906735905882556,70.0,70.0037376,27.093264094117444,27.097001694117438,0.9617319426784903,0.0037376,0.0
12,fake_hanoi,success,,46.539523103953975,70.0037376,70.0054272,23.46421449604602,23.465904096046025,0.9870777147137147,0.0016896000000000003,0.0
