task_id,backend,status,message,arrival_time,start_time,finish_time,waiting_time,turnaround_time,fidelity,exec_time_est,swap_count
3,fake_hanoi,success,,1.54,10.0,10.0053248,8.46,8.465324800000001,0.9569328906720129,0.0053248,0
0,fake_auckland,success,,0.37,10.0,10.005376,9.63,9.635376,0.9417362622231683,0.005376000000000003,0
2,fake_kolkata,success,,38.32,40.0,40.004096,1.6799999999999997,1.6840959999999967,0.9011784036598737,0.004096000000000001,0
1,fake_hanoi,success,,33.58,40.0,40.0041984,6.420000000000002,6.424198400000002,0.9694605362958227,0.004198400000000002,0
4,fake_auckland,success,,32.42,40.0,40.0060928,7.579999999999998,7.586092799999996,0.9389138777035492,0.0060928,0
