task_id,backend,status,message,arrival_time,start_time,finish_time,waiting_time,turnaround_time,fidelity,exec_time_est,swap_count
16,fake_hanoi,success,,3.6931942172316434,10.0,10.0016896,6.306805782768357,6.308495382768357,0.9870777147137147,0.0016896000000000003,0.0
7,fake_brisbane,success,,5.5912676064781675,10.0,10.0024576,4.4087323935218325,4.411189993521832,0.9221563184394991,0.002457599999999998,0.0
19,fake_brisbane,success,,6.4888201223622595,10.0024576,10.0049152,3.51363747763774,3.5160950776377398,0.9221563184394991,0.002457599999999998,0.0
3,fake_brisbane,success,,8.10727544557064,20.0,20.0024576,11.89272455442936,11.89518215442936,0.9221563184394991,0.002457599999999998,0.0
6,fake_hanoi,success,,7.169748079702637,20.0,20.0034304,12.830251920297364,12.833682320297363,0.9733480924695651,0.0034304000000000005,0.0
10,fake_hanoi,success,,11.612435060080644,20.0034304,20.0068608,8.390995339919355,8.394425739919354,0.9733480924695651,0.0034304000000000005,0.0
15,fake_hanoi,success,,14.408895838967284,30.0,30.0037376,15.591104161032716,15.594841761032717,0.9617319426784903,0.0037376,0.0
1,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',19.16603539344211,30.0,31.0,10.833964606557888,11.833964606557888,,,
17,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',19.837220842639958,31.0,32.0,11.162779157360042,12.162779157360042,,,
11,fake_brisbane,success,,21.299049001939157,40.0,40.0020992,18.700950998060843,18.703050198060847,0.9323611649219127,0.0020991999999999985,0.0
9,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',20.690682666253334,40.0,41.0,19.309317333746666,20.309317333746666,,,
2,fake_hanoi,success,,21.420845796670413,41.0,41.003584,19.579154203329587,19.582738203329583,0.9733480924695651,0.0035840000000000004,0.0
14,fake_hanoi,success,,22.43480657281307,50.0,50.003584,27.56519342718693,27.568777427186927,0.9733480924695651,0.0035840000000000004,0.0
4,fake_hanoi,success,,27.29230411960573,50.003584,50.005273599999995,22.711279880394265,22.712969480394264,0.9870777147137147,0.0016896000000000003,0.0
5,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',25.207597326890642,50.0,51.0,24.792402673109358,25.792402673109358,,,
0,fake_brisbane,success,,28.734148899462546,60.0,60.0008192,31.265851100537454,31.266670300537456,0.9655885070369844,0.0008191999999999997,0.0
12,fake_hanoi,success,,27.867048189937677,60.0,60.0016896,32.13295181006232,32.13464141006232,0.9870777147137147,0.0016896000000000003,0.0
8,fake_hanoi,success,,33.74234479143256,60.0016896,60.0033792,26.25934480856744,26.26103440856744,0.9870777147137147,0.0016896000000000003,0.0
18,fake_brisbane,success,,48.46906363690383,70.0,70.0021504,21.530936363096167,21.533086763096172,0.9436225637280606,0.0021503999999999985,0.0
13,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',37.73641951077831,70.0,71.0,32.26358048922169,33.26358048922169,,,
